dbID,mean_mag,std_mag,skewness,kurt,excess_var,n_obs,baseline,mean_err,sf_at_300d,drw_at_300d,sf_excess,log_tau,log_sigma,peak_power,best_period,n_cycles,log_sf_at_300d,log_drw_at_300d,log_sf_excess,log_excess_var,rf_score,is_candidate,rf_nols_score,iso_score
1000679,20.553671875,0.15463253363695628,0.9392903036903211,0.9343788146822152,0.02230916989087306,64,3336.9561299999987,0.04075000000000001,0.2654521237436239,0.2602180971394608,1.0201139992248809,2.31237,-0.553251,0.5998208678986078,263.8152369526095,12.648837756855697,-0.5760137957458896,-0.584662503260591,0.008648707514701334,-1.6515165892195385,0.0,0,0.0,0.39041915231218105
1000743,18.481108333333335,0.05317750085536393,-0.7379555501476569,0.9583623534165553,0.0026179350140056114,120,3336.956146000004,0.013358333333333333,0.0359310482714473,0.1369419712702997,0.2623815616070378,1.51631,-0.490816,0.6865189918891421,400.78374191196576,8.326076626963037,-1.4445301122731111,-0.8634634247843738,-0.5810666874887369,-2.582041138308203,0.0,0,0.001961224207173522,0.5027753157262941
1000837,19.634666666666664,0.08713718430663742,-0.21629994177517597,-0.0005339370530004217,0.006955654545454555,45,3329.9922119999974,0.025533333333333328,0.0787703746964845,0.2040722855137313,0.3859925148492757,2.73051,-0.741042,0.7570890451374171,919.8494038903996,3.620149339572511,-1.1036370886651439,-0.6902159715981034,-0.41342111706704004,-2.1576619954916927,0.0,0,0.0,0.365783731050407
1001265,19.895213114754092,0.15282467343858394,1.5418495329390558,4.6400870267206935,0.022954538797814252,61,3327.0175859999945,0.026655737704918036,0.1498642946741548,0.2034922029559268,0.7364620977965088,5.0,-0.8,0.5621948329236496,418.2803880540232,7.9540367682031805,-0.8243018259447654,-0.6914522266259292,-0.1328495993188362,-1.6391314286473173,0.0,0,0.0019804223185568453,0.401535526172466
1001294,21.19851851851852,0.16860107867726856,-1.5757574064653619,7.5303921026003025,0.021835280573025813,54,3321.0338180000035,0.07801851851851851,0.1320390093873776,0.2561815054031924,0.5154119505214375,5.0,-0.7,0.4964481412587996,340.22899582237346,9.76117220689164,-0.8792977425908131,-0.5914522266259292,-0.28784551596488395,-1.6608412232281455,0.0019950693808551104,0,0.0059510076500423024,0.4943882273528606
1001531,20.22204411764706,0.0947841873483139,-0.6568870025649108,-0.04683087906800232,0.007558529411764698,68,3336.956121999996,0.03583823529411764,0.0923531030998626,0.1654369315174044,0.5582375244317611,4.11633,-0.887743,0.5063985196617464,502.6057142857143,6.639311944040194,-1.034548507516583,-0.7813675336962675,-0.2531809738203152,-2.1215626926577094,0.0,0,0.0,0.3674484136573105
1001793,19.542217391304344,0.08666291010229016,1.1586561517131329,0.19113760943433444,0.007084763000852534,69,3336.956118000002,0.022173913043478256,0.0350970840631319,0.1072049692437377,0.3273829964293571,3.10745,-1.0536,0.8172545830209833,327.241610238857,10.197224355314484,-1.4547289641010264,-0.9697850834388041,-0.48494388066222205,-2.149674673171426,0.0,0,0.0,0.3873867930725926
1002076,19.77759420289856,0.09937257062429548,0.47071693083224225,-0.44998653498759866,0.0093999676044331,69,3336.9563599999965,0.023782608695652168,0.1237780992629269,0.1465733564979452,0.8444788481367835,2.77836,-0.890563,0.6056318963020041,401.7723369267312,8.305590139742591,-0.9073561906201025,-0.8339449667858397,-0.07341122383426277,-2.026873643127981,0.0,0,0.0,0.3456497532374443
1002162,18.349542372881352,0.0762847746841186,-0.09734630875827052,-1.7506702715547213,0.0056401753360608015,59,3321.0338460000057,0.015050847457627121,0.1515287044617691,0.1001117364042744,1.5135958070876034,2.71655,-1.04854,0.68248960781243,211.7890681435107,15.680855839781284,-0.8195050898776693,-0.9995150058690291,0.1800099159913598,-2.2487073948996232,0.0,0,0.0019950693808551104,0.40370124457834544
1002453,19.666593220338978,0.11277397804248866,1.2215708956633171,1.741000444206719,0.012269584453535936,59,3321.033841999997,0.02461016949152542,0.1584691311178346,0.2297204066260098,0.6898348015543351,2.52377,-0.65699,0.5201079949658302,679.4067665688243,4.888137718692524,-0.8000553232937146,-0.6388004236494644,-0.16125489964425013,-1.9111701457157304,0.0,0,0.0,0.3645934304824617
