dbID,band,n_obs,baseline,mean_mag,std_mag,mjd_min,mjd_max
1000679,r,64,3336.9561299999987,20.553671875,0.15463253363695628,51075.36552,54412.32165
1000679,g,58,3336.9561299999987,20.92398275862069,0.20047516755494452,51075.368853,54412.324983
1000743,r,120,3336.956146000004,18.481108333333335,0.05317750085536393,51075.363491,54412.319637
1000743,g,118,3336.956146000004,19.201406779661017,0.07243164367100641,51075.366824,54412.32297
1000837,r,45,3329.9922119999974,19.634666666666664,0.08713718430663742,51075.363224,54405.355436
1000837,g,45,3329.9922129999977,19.64262222222222,0.08426394744792219,51075.366557,54405.35877
1001265,r,61,3327.0175859999945,19.895213114754092,0.15282467343858394,51075.365124,54402.38271
1001265,g,60,3327.0175860000018,19.928833333333333,0.20627337577970534,51075.368457,54402.386043
1001294,r,54,3321.0338180000035,21.19851851851852,0.16860107867726856,51081.343062,54402.37688
1001294,g,53,3321.0338179999962,21.425490566037734,0.2044435266066835,51081.346395,54402.380213
1001531,r,68,3336.956121999996,20.22204411764706,0.0947841873483139,51075.362885,54412.319007
1001531,g,64,3336.956121999996,20.64825,0.12141496509903536,51075.366218,54412.32234
1001793,r,69,3336.956118000002,19.542217391304344,0.08666291010229016,51075.361744,54412.317862
1001793,g,68,3336.956118999995,19.939735294117646,0.11778764761551148,51075.365077,54412.321196
1002076,r,69,3336.9563599999965,19.77759420289856,0.09937257062429548,51075.360604,54412.316964
1002076,g,69,3336.9563599999965,20.007217391304348,0.12467649378828251,51075.363937,54412.320297
1002162,r,59,3321.0338460000057,18.349542372881352,0.0762847746841186,51081.341786,54402.375632
1002162,g,55,3321.033846999999,18.480945454545456,0.09247219103980651,51081.345119,54402.378966
1002453,r,59,3321.033841999997,19.666593220338978,0.11277397804248866,51081.342273,54402.376115
1002453,g,57,3321.033841999997,19.969754385964908,0.1325192181629432,51081.345606,54402.379448
100286,r,61,3336.933284999999,20.171426229508196,0.05977099988093723,51075.306379,54412.239664
100286,g,59,3336.9332859999995,20.3403220338983,0.0657167627347682,51075.309712,54412.242998
1003180,r,63,3336.956148999998,20.362380952380953,0.19555930603494878,51075.36217,54412.318319
1003180,g,64,3336.956148999998,20.409890625000003,0.18879876168055076,51075.365503,54412.321652
1003235,r,60,3310.0414610000007,20.298166666666663,0.12324868716902786,51081.346954,54391.388415
1003235,g,60,3321.0339109999986,20.3324,0.11412350035524352,51081.350287,54402.384198
1003323,r,68,3336.956112,19.558279411764705,0.12963272163038553,51075.365004,54412.321116
1003323,g,66,3336.956113,19.811924242424244,0.17524211049600125,51075.368337,54412.32445
1003453,r,65,3336.9561480000048,20.04690769230769,0.08531889917370614,51075.362359,54412.318507
1003453,g,63,3336.956148999998,20.61319047619048,0.09599534663703084,51075.365692,54412.321841
1003674,r,67,3336.956130000006,18.86234328358209,0.0506337602669437,51075.365707,54412.321837
1003674,g,64,3336.9561299999987,19.22025,0.07803805161586212,51075.36904,54412.32517
1003693,r,55,3321.0340849999993,20.39223636363636,0.24815471447072995,51081.341623,54402.375708
1003693,g,56,3321.0340849999993,20.673678571428574,0.308915332086252,51081.344956,54402.379041
1003694,r,113,3321.0338459999984,19.39792920353982,0.05675529164275492,51081.338147,54402.371993
1003694,g,110,3311.0366179999983,19.47259090909091,0.08257958095124147,51081.34148,54392.378098
1003721,r,61,3336.9561609999946,19.62060655737705,0.1463914893486715,51075.365231,54412.321392
1003721,g,59,3336.956161000002,19.700305084745768,0.13912757884217042,51075.368564,54412.324725
1003907,r,53,3321.0339049999966,20.63333962264151,0.20470346186122695,51081.346697,54402.380602
1003907,g,55,3321.0339049999966,20.749781818181816,0.23494995141395847,51081.35003,54402.383935
1004203,r,62,3321.033817000003,18.965838709677417,0.11472677128703633,51081.347932,54402.381749
1004203,g,59,3310.0414080000046,19.027152542372882,0.12319845001767132,51081.351265,54391.392673
1004332,r,67,3336.9561380000014,18.100208955223884,0.08043158533688122,51075.365735,54412.321873
1004332,g,68,3336.9561380000014,18.120691176470594,0.09606864233345017,51075.369068,54412.325206
100512,r,54,3321.033951999998,20.00966666666666,0.08564829029017247,51081.283732,54402.317684
100512,g,53,3321.0339520000052,20.37062264150944,0.09359491729771348,51081.287065,54402.321017
100520,r,36,1825.1099350000004,18.520972222222223,0.07848194630016365,52577.20928,54402.319215
100520,g,34,1825.1099349999931,18.697911764705882,0.09100367401990477,52577.212613,54402.322548
1005316,r,63,3321.0339229999954,19.268269841269838,0.0888323204354307,51081.347671,54402.381594
1005316,g,58,3310.0415070000017,19.653603448275863,0.12329120835272425,51081.351004,54391.392511
100539,r,53,3321.0339109999986,18.998641509433963,0.10662827235609754,51081.294043,54402.327954
100539,g,47,3311.0355039999995,19.153978723404258,0.10592680920809726,51081.297376,54392.33288
1005458,r,60,3321.033893,19.942349999999998,0.13837483212877516,51081.344797,54402.37869
1005458,g,60,3321.033893,19.975633333333334,0.15460389890153356,51081.34813,54402.382023
1006209,r,59,3310.0414610000007,19.359694915254234,0.11797647772407542,51081.347088,54391.388549
1006209,g,59,3321.0339109999986,19.546118644067796,0.1652928664107951,51081.350421,54402.384332
1006508,r,58,3321.0339529999983,20.06268965517241,0.0893202697188031,51081.348591,54402.382544
1006508,g,57,3310.041640999996,20.381087719298247,0.12809033006516127,51081.351924,54391.393565
1006615,r,55,3321.0339289999974,20.23409090909091,0.16266432505201672,51081.346221,54402.38015
1006615,g,51,3321.0339289999974,20.50464705882353,0.2076433427429521,51081.349554,54402.383483
1006627,r,55,3321.0338769999944,19.21754545454545,0.06272271393183806,51081.337675,54402.371552
1006627,g,57,3321.0338769999944,19.28454385964912,0.0774805171154112,51081.341008,54402.374885
1006712,r,66,3336.9561639999956,19.634818181818183,0.10064864013155167,51075.363124,54412.319288
1006712,g,65,3336.9561650000032,19.66209230769231,0.1138723608089909,51075.366457,54412.322622
1006927,r,64,3336.9561710000053,20.445296874999997,0.09049217502212217,51075.357581,54412.313752
1006927,g,63,3336.9561710000053,20.88873015873016,0.10267844804838833,51075.360914,54412.317085
100759,r,52,3321.0338730000003,19.669711538461538,0.08192311980858402,51081.293393,54402.327266
100759,g,49,3321.0338740000007,20.635673469387754,0.09499224195070094,51081.296726,54402.3306
1007681,r,67,3336.9561509999985,19.990253731343284,0.15776426238561464,51075.361016,54412.317167
1007681,g,67,3336.9561509999985,20.189940298507466,0.1704614352671705,51075.364349,54412.3205
100801,r,55,3321.0339139999996,18.540163636363637,0.05334919736513529,51081.290948,54402.324862
100801,g,54,3321.0339139999996,18.72525925925926,0.0720316764643593,51081.294281,54402.328195
1008247,r,68,3336.9561420000027,20.044279411764705,0.12594301297531751,51075.360409,54412.316551
1008247,g,64,3336.956142999996,20.16634375,0.1205450147701576,51075.363742,54412.319885
1008471,r,11,3310.0415189999985,20.25209090909091,0.11247824399367551,51081.339773,54391.381292
1008471,g,10,3310.0415189999985,20.433699999999998,0.1495386572094319,51081.343106,54391.384625
1008531,r,55,3321.0338550000015,19.85258181818182,0.08589521965936533,51081.34345,54402.377305
1008531,g,55,3321.0338550000015,20.20416363636363,0.0660481267056251,51081.346783,54402.380638
1008737,r,66,3336.956134,20.4150303030303,0.3094715911814734,51075.359952,54412.316086
