dbID,log_tau,log_sigma,sf_at_300d,drw_at_300d,sf_excess
1000679,2.31237,-0.553251,0.2654521237436239,0.26021809713946087,1.0201139992248807
1000743,1.51631,-0.490816,0.03593104827144736,0.13694197127029978,0.2623815616070378
1000837,2.73051,-0.741042,0.07877037469648458,0.20407228551373133,0.38599251484927577
1001265,5.0,-0.8,0.1498642946741548,0.20349220295592682,0.7364620977965088
1001294,5.0,-0.7,0.13203900938737761,0.25618150540319246,0.5154119505214375
1001531,4.11633,-0.887743,0.09235310309986264,0.1654369315174044,0.5582375244317611
1001793,3.10745,-1.0536,0.03509708406313192,0.10720496924373771,0.3273829964293571
1002076,2.77836,-0.890563,0.12377809926292692,0.14657335649794523,0.8444788481367835
1002162,2.71655,-1.04854,0.1515287044617691,0.1001117364042744,1.5135958070876034
1002453,2.52377,-0.65699,0.15846913111783464,0.22972040662600982,0.6898348015543351
100286,2.88734,-1.00507,0.053535128653997024,0.11554552027651586,0.4633250040839343
1003180,5.0,-0.825,0.12647516511673035,0.19210902743992525,0.6583509728936638
1003235,2.22173,-0.682954,0.19788326604907377,0.18126186511687364,1.0916982781871025
1003323,3.19069,-0.843113,0.14398567246040075,0.17579265970653302,0.8190653278741523
1003453,5.0,-1.15,0.05796424079559102,0.09089662819106624,0.6376940701667086
1003674,3.3704,-1.09163,0.04674064690817271,0.10079581478530612,0.463716147418717
1003693,2.99808,-0.631264,0.3151919374711355,0.2789706742545278,1.1298389635878359
1003694,2.05307,-0.798483,0.05519925494496197,0.12068713087298702,0.4573748215379692
1003721,2.63794,-0.695019,0.28531049042993045,0.22021387763177322,1.2956063146347543
1003907,2.73251,-0.586252,0.30621571916978163,0.29162706504432756,1.0500250349645586
1004203,2.82771,-0.86378,0.14428305133001218,0.1578459897004345,0.9140748624899337
1004332,2.81696,-0.981587,0.07186155139438137,0.12003243186370989,0.5986844578469938
100512,2.90296,-1.04315,0.0455004403971644,0.10618824514367864,0.42848848604287376
