dbID,peak_power,best_period,n_cycles,n_obs,baseline,redshift,rest_period
1000679,0.5998208678986078,263.8152369526095,12.648837756855695,64,3336.9561299999987,1.207,119.53567600933825
1000743,0.6865189918891421,400.78374191196576,8.326076626963037,120,3336.956146000004,2.262,122.86442118699134
1000837,0.7570890451374171,919.8494038903995,3.620149339572511,45,3329.9922119999974,0.7042,539.754373835465
1001265,0.5621948329236496,418.28038805402315,7.9540367682031805,61,3327.0175859999945,1.6825,155.92931521119223
1001294,0.49644814125879966,340.22899582237346,9.76117220689164,54,3321.0338180000035,1.5809,131.8257180915082
1001531,0.5063985196617464,502.6057142857143,6.639311944040194,68,3336.956121999996,1.3368,215.08289724653983
1001793,0.8172545830209833,327.241610238857,10.197224355314484,69,3336.956118000002,1.3099,141.6691675998342
1002076,0.6056318963020041,401.77233692673116,8.305590139742591,69,3336.9563599999965,1.5367,158.3838597101475
1002162,0.68248960781243,211.7890681435107,15.680855839781284,59,3321.0338460000057,1.6056,81.28226440877752
1002453,0.5201079949658302,679.4067665688243,4.888137718692524,59,3321.033841999997,1.1314,318.7607988030516
100286,0.3592335068872609,405.43929197013,8.23041414852767,61,3336.933284999999,2.7067,109.38012031460059
1003180,0.7552965119162243,390.5337003818488,8.544604846488921,63,3336.956148999998,2.6088,108.21705286573066
1003235,0.5586870764834367,465.27719001269566,7.114127947922145,60,3310.0414610000007,1.7194,171.09553210733824
1003323,0.5851246056986871,293.7938406039147,11.35815545057256,68,3336.956112,1.2814,128.77787350044477
1003453,0.7211903457762175,392.7308447937131,8.496801797558792,65,3336.9561480000048,1.1992,178.5789581637473
1003674,0.5047656376616982,290.1306240928882,11.50156465017511,67,3336.956130000006,2.744,77.49215387096372
1003693,0.6880549031631868,1082.9352376262004,3.06669685278662,55,3321.0340849999993,1.256,480.0244847633867
1003694,0.4004861593524856,311.19445230682135,10.671892835434077,113,3321.0338459999984,1.8928,107.57551586933812
1003721,0.6436030774411825,486.1058914557312,6.864669241113045,61,3336.9561609999946,2.5022,138.80015174910946
1003907,0.7390499728716201,471.5633712202444,7.042603619543857,53,3321.0339049999966,2.566,132.23874683686046
1004203,0.7045241801823355,311.3927635771437,10.665096320317213,62,3321.033817000003,0.7448,178.46903001899568
1004332,0.7034310536609774,418.28038805402315,7.977797270210564,67,3336.9561380000014,1.8045,149.14615370084618
100512,0.7246824363355987,426.6808964781216,7.783413739429711,54,3321.033951999998,1.735,156.00764039419437
100520,0.8347183053367215,320.7965570063462,5.689306493909457,36,1825.1099350000004,2.1189,102.85567251477963
1005316,0.7371763473603987,409.5167147779123,8.109641934398324,63,3321.0339229999954,1.2592,181.2662512296
100539,0.702004877508144,392.4154546265726,8.463055855331527,53,3321.0339109999986,2.1127,126.0691536693458
1005458,0.6494675749606289,324.4172322218944,10.236921973147481,60,3321.033893,1.7503,117.95703458600674
1006209,0.5463475220377548,266.1140021783856,12.438434031671747,59,3310.0414610000007,1.4618,108.09732804386448
1006508,0.6123795359914084,487.0749806180086,6.818321788539039,58,3321.0339529999983,0.9998,243.56184649365366
1006615,0.5199571508602041,422.62156448202956,7.85817432924962,55,3321.0339289999974,1.0916,202.0565904006644
1006627,0.3880691677217608,319.32907348242804,10.400036053036503,55,3321.0338769999944,1.7299,116.97464137236824
1006712,0.528486556372568,829.3041674523855,4.02380247798717,66,3336.9561639999956,1.5181,329.33726518104345
1006927,0.6671695342146914,404.76760239300506,8.244128609285337,64,3336.9561710000053,3.3125,93.85915417808813
100759,0.7546883364271181,421.89178818112043,7.871767040827688,52,3321.0338730000003,3.6447,90.83294683857308
1007681,0.6002908005361092,467.9506277931474,7.131000479125469,67,3336.9561509999985,2.894,120.17222079947288
100801,0.5327690277868872,558.3090008886631,5.948379676333166,55,3321.0339139999996,2.1649,176.40652181385295
1008247,0.5952408596171527,390.5337003818488,8.544604828564745,68,3336.9561420000027,1.6476,147.50479694132378
1008531,0.44153430586939185,330.11559825851975,10.060214883876034,55,3321.0338550000015,0.6976,194.46017805049468
1008737,0.7259537951278375,313.59098687963484,10.6411098329201,66,3336.956134,1.7534,113.8922738721707
1008739,0.48567352821516513,484.65946660789064,6.829623123152484,56,3310.0414999999994,2.4519,140.40368104750735
1009363,0.5505157689819508,412.2808662229305,8.093890336389336,115,3336.956119000002,1.3469,175.6704019016279
1009473,0.7438910986639313,318.0818747287718,10.490871684673701,66,3336.9561329999997,1.651,119.98561853216592
1009853,0.4801236783122307,505.20390580126355,6.60516695473192,127,3336.9561440000034,2.1468,160.54528594167522
1010231,0.5710322655678508,570.6981572800415,5.819247536785675,57,3321.0338460000057,2.1223,182.78133340167233
1010581,0.604067795307549,446.5678310316815,7.472450772575379,127,3336.956134,0.9698,226.70719414746753
1010882,0.5464349042692115,294.324722259403,11.283570909388333,59,3321.0338740000007,1.3892,123.18965438615564
1010945,0.5460098200163429,641.9208874616844,5.198391591828636,67,3336.956143999996,2.237,198.30734861343353
101129,0.7469188205289492,437.37444057682734,7.593113707376408,54,3321.033859999996,1.6483,165.15290585538926
1011389,0.7046275096426085,430.8189655172414,7.745611050325167,66,3336.956140000002,2.2559,132.31947096570576
1011484,0.7689731684580362,436.20313429875023,7.65000493718268,67,3336.956130999999,1.6523,164.46221554829776
1012129,0.8218125930953188,806.0483870967741,4.120142046263132,56,3321.033851,1.2441,359.1855920399154
1012310,0.5639004551986275,333.2676568657169,9.965065107827556,62,3321.033899000002,1.5654,129.90865239951543
1013289,0.6067333410544421,310.20667277985467,10.725164349901327,60,3327.0175480000034,1.8769,107.82671374738597
1013675,0.8369183515060411,402.4341142020497,8.291931613741417,69,3336.9561539999995,1.4029,167.47851105000197
1014099,0.39113332533076367,390.5337003818488,8.544604838807125,66,3336.956145999997,1.7568,141.66196328418775
1014119,0.6364998312234471,321.85304449648703,10.349357925791987,123,3330.9723569999987,1.5181,127.81583118084549
1015182,0.7157587799066495,435.4257425742574,7.601850996293606,58,3310.041615000002,2.127,139.24711946730332
1015505,0.5502304984513325,340.22899582237346,9.761172336216282,61,3321.0338619999966,1.4864,136.83598609329692
1016406,0.7874825215187469,403.76423062798375,8.22518112571469,60,3321.0339290000047,1.4727,163.28880601285388
1016763,0.7504727221579027,322.0651775906261,10.311682585011814,59,3321.0338829999964,0.7323,185.91766875865963
101690,0.5250690717461054,475.2323319645558,7.021688278668886,63,3336.9332950000025,1.5452,186.7170878377164
101718,0.5737791782130107,307.66755281936474,10.794228531956438,50,3321.0338770000017,2.9278,78.33075839385019
1017249,0.8267159311239359,410.54891710231516,8.128035396007109,67,3336.956130000006,1.2349,183.6990098448768
1017284,0.7067951528035487,399.4731583250068,8.31353436091955,56,3321.0338279999996,1.0266,197.11495032320477
1017349,0.5268844396057693,267.42474916387954,12.377468694834922,55,3310.0414610000007,1.3843,112.16069670925619
1017734,0.5643132451234755,404.76760239300506,8.204791629482928,62,3321.0338360000023,3.0088,100.96976711060793
1018,0.5780815719902924,686.0842433697347,4.863736974355357,62,3336.9333019999976,0.6125,425.47860053937035
101818,0.6890660272517208,319.74698269594296,10.436168300525258,60,3336.933324999998,1.051,155.8980900516543
1018210,0.7298044149879072,289.44320126365665,11.473870543515867,57,3321.0338210000045,2.5379,81.81214880682231
1018326,0.776602013186617,400.4552904753232,8.33290557365138,65,3336.9561220000032,2.4981,114.47794244742094
1018370,0.6506419784293949,323.7723625119635,10.306488565331753,65,3336.956151999999,1.3285,139.04761112817843
1018542,0.5906966423084862,858.442318953738,3.8756448459518356,59,3327.0175489999965,0.613,532.2023056129808
1018721,0.6454969035410065,310.20667277985467,9.50316612657807,52,2947.9455450000023,2.9637,78.26189489110041
1019591,0.5536453769969366,419.7175033403321,6.992652602386639,57,2934.938691999996,1.0915,200.6777448435726
101965,0.6961862428565425,267.42474916387954,12.418573435642815,52,3321.0338859999974,1.3826,112.24072406777451
1019709,0.26080478863298834,496.98270991072434,5.919607333076999,49,2941.9424940000026,1.4904,199.55939202968372
1019713,0.6337953860809225,456.5822259136212,6.428061655547787,55,2934.9386990000057,3.1643,109.64201088144975
1019778,0.6625186452277421,509.94897959183675,6.543661178949481,54,3336.9333410000036,2.2317,157.79589058137722
1020058,0.7725601822830326,414.73029045643153,8.04603232459229,48,3336.9333229999975,1.8754,144.2339467400819
1020198,0.4437897787660506,340.22899582237346,8.626362938014474,57,2934.9388000000035,1.278,149.3542562872579
1021519,0.6508194019200548,311.59132775967123,9.419192501608071,58,2934.938697999998,1.3028,135.30976539850235
102187,0.45169337537281457,340.22899582237346,6.328221948854885,19,2153.0445990000007,0.5804,215.28030613918847
1022068,0.3899558467900915,336.94452957401165,9.903509370574374,54,3336.933305999999,2.2349,104.15917944109916
1023490,0.7290241933487946,416.8530805687204,7.040702928225477,50,2934.9387050000005,1.012,207.1834396464813
1025590,0.7649106240585104,411.9333083551892,8.076592733625892,59,3327.0175649999946,0.6416,250.9340328674398
1025740,0.5532153159078579,307.0874938900915,10.8468447340684,54,3330.9303660000005,2.0834,99.59379058509809
1026527,0.19783377137221003,735.6641017062562,4.535946975339026,55,3336.9333569999944,3.2677,172.37952567103036
1027365,0.8044657432769908,502.6057142857143,6.639266580449309,54,3336.933321999997,0.361,369.2914873517372
1027475,0.8268540901250502,340.22899582237346,8.626362644094772,58,2934.938699999999,1.3153,146.9481258680834
1027921,0.7146719301632817,391.7861915367483,8.517230556062115,54,3336.933321999997,0.5467,253.30457848112
1028255,0.6321924183708202,325.93196472244864,9.044664914993403,50,2947.945405999999,0.6037,203.23749125300782
1028306,0.7241119497018366,393.3631484794275,8.483085700577574,56,3336.9333000000042,1.529,155.54098397763048
1029706,0.650018565653437,303.4639801269666,10.996143046709724,52,3336.9333350000015,1.078,146.03656406495023
1030313,0.7958559265733431,454.4590265578175,7.320830738470833,58,3327.017611000003,0.5535,292.538800487813
1032361,0.5478254982016553,289.44320126365665,10.139947019610718,55,2934.9387260000003,2.468,83.46113069886293
1032378,0.4483051745828574,340.22899582237346,9.807903982240681,54,3336.9333230000047,1.8796,118.15147792136875
1032950,0.766923665695093,460.8887025780758,6.396219719663468,56,2947.9454079999996,1.4583,187.4826923394524
103425,0.5124790482455418,218.70897155361047,15.184717263351649,55,3321.0338959999935,2.1166,70.1755026482739
103455,0.5661375889075086,338.578797443991,9.855707747181073,61,3336.9336769999936,2.0065,112.61559868418128
