dbID,peak_power,best_period,rest_period,n_cycles,n_obs,baseline,null_p99,null_p999,sig_99,sig_999,log_tau,log_sigma,redshift_x,ra,dec,redshift_y,in_charisi16,in_graham15
1471927,0.964375748989382,399.4731583250068,143.67470807258192,7.347023525450916,52.0,2934.938692000004,0.951085097810066,0.9640818777330682,True,True,5.0,-0.7,1.7804,331.663605,0.451126,1.7804,False,False
3657458,0.9486243496011144,460.020920502092,194.74257916437728,4.847490656655606,52.0,2229.9471140000023,0.919181760120942,0.9446540914506724,True,True,2.61245,-0.940699,1.3622,314.31723,0.053043,1.3622,False,False
2335899,0.9454772494564052,501.0595875583912,178.77746014856788,5.155001066013915,48.0,2582.962707999999,0.9063546230310298,0.93284151432534,True,True,1.78718,-0.168049,1.8027,321.466309,0.009104,1.8027,False,False
4044592,0.9237954179879772,404.098134705504,163.96759371292512,8.257730364016325,61.0,3336.933437,0.9119095574097132,0.9380302625359702,True,False,5.0,-1.05,1.4645,7.557972,1.234772,1.4645,False,False
912382,0.9230619845793244,406.45101663585945,188.39854298500947,8.209983447992185,67.0,3336.956119000002,0.9204464244599944,0.942189272528446,True,False,3.7393,-1.29379,1.1574,21.760525,1.236802,1.1574,False,False
3876098,0.9196355661325016,328.5618229361225,183.63616305394729,10.156180937822311,62.0,3336.933322999997,0.9064182132698916,0.9176458842908902,True,True,3.77916,-0.952256,0.7892,356.251801,-0.993351,0.7892,False,False
1493081,0.9183166663882932,398.8210755418518,177.45887494075458,7.359036156784083,55.0,2934.938715000004,0.9114428331361318,0.9278107164111434,True,False,5.0,-0.95,1.2474,332.416779,-0.400693,1.2474,False,False
1572145,0.9129592336014708,1100.0,461.1579256278037,3.019121634545458,65.0,3321.033798000004,0.8614968989253861,0.8954933320909452,True,True,2.54566,-0.795887,1.3853,31.753199,-0.259906,1.3853,False,False
3598358,0.9128877606290116,322.7032579982388,126.495730468519,8.004142006567823,54.0,2582.9627029999974,0.895402622357962,0.9244565611765904,True,False,3.25295,-1.05423,1.5511,314.852112,-0.657583,1.5511,False,False
3742193,0.910746435840482,403.09807516040325,219.7917530863704,8.23877376908454,64.0,3321.033847999999,0.8962756803672539,0.9147020643848044,True,False,3.70716,-0.677858,0.834,54.092052,0.940593,0.834,False,False
1519493,0.9074483511002636,426.308646762311,188.95822293440492,6.884539437072162,54.0,2934.938690999996,0.8836044018314676,0.9232049623182098,True,False,2.75242,-0.754274,1.2561,331.238556,0.069846,1.2561,False,False
1668446,0.9073650157398112,415.0825861255309,107.81085845186642,8.039258399509992,66.0,3336.956167000004,0.8925552977908423,0.9228777620162224,True,False,3.4726,-1.36569,2.8501,32.461292,-0.085123,2.8501,False,False
1674122,0.906788504123751,321.2183186034621,111.6387997787725,10.338868123831242,64.0,3321.033835000002,0.8861839088384673,0.9022523831426338,True,True,3.37017,-0.809636,1.8773,31.943642,-1.176563,1.8773,False,False
961831,0.903437268834712,402.76582104588334,161.58461889026853,8.285102644347393,68.0,3336.9561689999973,0.8790147639570904,0.9016038186645904,True,True,5.0,-0.925,1.4926,22.439445,-0.951361,1.4926,False,False
582730,0.9033907809440308,944.7475832438238,497.39264148879846,3.503625251556463,56.0,3310.041489000003,0.8831373464750109,0.9111847416377776,True,False,3.09397,-0.67643,0.8994,16.281981,-1.200681,0.8994,False,False
1057980,0.9030961856262072,461.7597648047038,147.37640904018377,6.384153938242768,55.0,2947.945421000004,0.8903849516485465,0.9253423505467148,True,False,3.02818,-0.904229,2.1332,335.369629,0.74882,2.1332,False,False
3943841,0.9026375207305112,407.4678032057816,176.93682018575774,8.189440411601698,63.0,3336.933293999995,0.8874540444635881,0.9024429246258628,True,True,3.72338,-0.886039,1.3029,358.589233,1.22883,1.3029,False,False
190867,0.9017384629265218,417.5655146221041,172.77619770858325,7.953324253813269,56.0,3321.0339349999995,0.8961197273932526,0.9191743680725256,True,False,3.28792,-0.627209,1.4168,12.300488,0.910348,1.4168,False,False
4996515,0.8993064125382598,400.78374191196576,167.07676417874177,8.25892151515234,70.0,3310.041468999996,0.8760765782473776,0.9044153761925666,True,False,3.7443,-0.733245,1.3988,55.096901,-0.758264,1.3988,False,False
4128390,0.8976445736506277,461.7597648047038,196.1429635564964,7.192125248081329,56.0,3321.0340630000064,0.8777217776121087,0.921528768741786,True,False,2.94278,-1.12934,1.3542,6.417455,-0.258709,1.3542,False,False
1269621,0.8951242404619097,460.020920502092,198.8763652682945,7.219310453044713,63.0,3321.033840000004,0.8514740283866227,0.8790759886935593,True,True,2.89581,-0.94457,1.3131,29.247871,0.117473,1.3131,False,False
670674,0.8948147652601449,550.7576706324357,297.0164863465652,6.0588465253115205,65.0,3336.956199,0.8802892732681662,0.9269291747220544,True,False,2.37482,-1.05142,0.8543,18.571615,-0.921888,0.8543,False,False
320793,0.8941525473767771,416.4977744104555,191.1680242394343,8.011887510619617,61.0,3336.9333169999954,0.8877217515663111,0.9073062101764562,True,False,3.27626,-0.791599,1.1787,351.48056,0.686088,1.1787,False,False
223800,0.8937755252818553,1100.0,654.0222367560498,3.019121700000006,55.0,3321.0338700000066,0.8923719476652383,0.9334943721311534,True,False,3.23592,-0.718393,0.6819,14.944415,0.048633,0.6819,False,False
265248,0.8929845336370357,425.1957845886106,302.52279230779834,7.8246721477236445,57.0,3327.017613000004,0.8725969939689634,0.9082288070035894,True,False,2.25482,-0.85933,0.4055,10.217291,0.015898,0.4055,False,False
15195,0.8916090772680799,310.6010311462674,134.13414715247342,10.74347135515009,59.0,3336.933281000005,0.8674559184145976,0.9020844801222082,True,False,3.01958,-0.779564,1.3156,4.820475,0.785551,1.3156,False,False
575035,0.8896437606744193,409.17379977670254,112.01648044697288,7.172841256213553,54.0,2934.938711999996,0.8887129572507313,0.91471094339602,True,False,4.13984,-0.921119,2.6528,348.904663,0.907666,2.6528,False,False
3905973,0.8881066969962612,310.009868884816,205.4950741646666,10.763958270115063,64.0,3336.933292000001,0.885965819500177,0.922705409197661,True,False,2.79365,-0.636228,0.5086,359.386627,-0.479311,0.5086,False,False
4130731,0.8876181286983037,463.5118043844856,125.7253924605977,7.199241262973306,64.0,3336.933308,0.869206593191819,0.9007318250852314,True,False,2.94177,-0.830803,2.6867,7.020567,1.177997,2.6867,False,False
530434,0.8872502202986509,433.1101043923577,99.47864035838984,6.776426348024465,55.0,2934.9387229999998,0.8705352808503782,0.8854027718888291,True,True,3.26219,-0.857534,3.3538,349.488617,0.879506,3.3538,False,False
2548258,0.8857960548485314,315.41275191852543,134.75722119051755,10.529167862743398,70.0,3321.033810999994,0.8503104470828721,0.8906873536670683,True,False,2.94966,-1.00281,1.3406,41.717342,-1.211967,1.3406,False,False
373723,0.8827975277167616,326.3673469387755,108.10445410360234,10.1757541835918,56.0,3321.033896000001,0.8755690819232216,0.9006337707788211,True,False,3.22178,-0.982291,2.019,353.648895,-0.227113,2.019,False,False
1519972,0.8813392230607093,517.5100023534949,316.63607584036646,5.696402785634188,57.0,2947.9454190000038,0.8785643474536281,0.9022300483351104,True,False,2.71611,-0.716963,0.6344,332.444733,-0.593207,0.6344,False,False
205295,0.8802018363710189,442.9247658374459,163.27819730801264,7.5203507817001585,63.0,3330.949608999996,0.8714030740092422,0.9141771872912144,True,False,2.94428,-0.722893,1.7127,13.018611,0.217644,1.7127,False,False
3805560,0.8793667594921881,398.8210755418518,149.96092330958896,8.367050614028615,67.0,3336.956125000004,0.8707871895366186,0.9004800172507488,True,False,5.0,-1.075,1.6595,54.285221,-0.104022,1.6595,False,False
1540,0.8776106528331086,406.1132145165759,105.5579794964198,8.177606062273176,52.0,3321.033884999997,0.8584155837419758,0.8995947279370796,True,False,5.0,-1.325,2.8473,2.607954,0.913245,2.8473,False,False
476978,0.8759215133034649,937.4973353229587,335.9603423483099,3.5594056625776505,61.0,3336.933323999998,0.8488374292453752,0.892432685131023,True,False,2.34406,-0.936894,1.7905,349.215546,0.387469,1.7905,False,False
3764017,0.8733016524229996,414.37859229247147,160.73645938420148,8.052916333198873,65.0,3336.956134,0.8595112437141014,0.890374948771317,True,False,4.12289,-0.685447,1.578,50.132114,-0.858389,1.578,False,False
9330,0.8727185664942565,398.1711181530104,174.32297979642328,8.340720149179132,54.0,3321.0338679999986,0.8650882275419166,0.8976659175163921,True,False,5.0,-1.075,1.2841,1.056536,-0.771464,1.2841,False,False
923372,0.8676299707049757,478.0217391304347,141.18428115377006,6.947453810450678,58.0,3321.0339529999983,0.8647777745768438,0.9038993013902666,True,False,2.92829,-0.9616,2.3858,20.31193,-0.277052,2.3858,False,False
350195,0.8671397846577631,420.8018371447708,174.67905236395634,7.929939946654683,62.0,3336.9332979999963,0.8545259893820942,0.8734538213688468,True,False,3.19883,-0.786156,1.409,352.900955,1.201872,1.409,False,False
1481181,0.8669221572510023,430.4394636390329,156.49498768915942,6.848687639087275,53.0,2947.945434000001,0.8252842411514092,0.8715243001823029,True,False,1.79677,-0.212667,1.7505,334.778625,-0.144121,1.7505,False,False
411323,0.8654958383618556,482.7442371020856,279.0429116197027,6.85877769950429,47.0,3311.035407999996,0.8588863701667554,0.8950931912404848,True,False,2.50987,-0.485834,0.73,351.143555,-1.229205,0.73,False,False
2049798,0.863884397833825,454.8820852296234,246.74916475705092,7.335870609886768,46.0,3336.9561200000026,0.8627940250571267,0.9029147766624817,True,False,3.22268,-0.47764,0.8435,38.405903,-0.109607,0.8435,False,False
